latitude	longitude	price	hoa	beds	baths	sqft	remodel	built	stories	type	address	parking	view	lastupdatedate
47616024.00	-122335704.00	999500.00	820.00	2.00	1.50	1316.00	0.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2802	2 spaces	City, Mountain	10/20/17
47612728.00	-122324800.00	560000.00	0.00	1.00	1.00	762.00	1980.00	1980.00	0.00	Condo	1300 University Street Apartment 5E	Attached Garage, 1 space	City	09/21/17
47611808.00	-122323232.00	1175000.00	690.00	2.00	1.50	1181.00	0.00	2016.00	0.00	Condo	1321 Seneca Street Apartment 1407	Carport, On street, 1 space	City	10/20/17
47608648.00	-122338784.00	421000.00	0.00	1.00	1.00	524.00	1991.00	1991.00	0.00	Condo	1415 2nd Avenue UNIT 903	Attached Garage, 1 space	City	09/29/17
47612644.00	-122329232.00	458285.00	0.00	1.00	1.00	620.00	2002.00	2002.00	1.00	Single Family	1420 Terry Avenue UNIT 201	Attached Garage, 1 space	City	10/23/17
47609672.00	-122339728.00	4600000.00	0.00	2.00	1.00	2658.00	2008.00	2008.00	38.00	Single Family	1521 2nd Avenue Apartment 3003	Attached Garage, 4 spaces	Territorial	09/15/17
47616024.00	-122335704.00	710000.00	459.00	1.00	1.00	820.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 1903	Attached Garage, 1 space	City, Territorial, Water	07/24/17
47616024.00	-122335704.00	565000.00	0.00	1.00	1.00	719.00	0.00	2007.00	0.00	Multi Family	819 Virginia Street UNIT 2509	Attached Garage, Detached Garage	NULL	08/16/17
47616024.00	-122335704.00	370000.00	243.00	0.00	1.00	419.00	2007.00	2007.00	0.00	Condo	819 Virginia Street UNIT 2208	Attached Garage	City	08/21/17
47613560.00	-122334056.00	1200000.00	0.00	2.00	2.00	1350.00	2009.00	2009.00	0.00	Condo	737 Olive Way Apartment 3205	Attached Garage, 1 space	City	08/23/17
47613560.00	-122334056.00	760000.00	528.00	1.00	1.50	823.00	0.00	2009.00	0.00	Condo	The Elektra Apartment 2303	1 space	City, Mountain	09/11/17
47613800.00	-122334160.00	880000.00	640.00	1.00	1.50	1092.00	2009.00	2009.00	0.00	Condo	737 Olive Way Apartment 3408	Attached Garage, 1 space	City, Mountain	10/02/17
47608648.00	-122338784.00	470000.00	0.00	2.00	1.10	991.00	1991.00	1991.00	0.00	Condo	1415 2nd Avenue UNIT 609	Attached Garage, 1 space	City	06/27/17
47610612.00	-122336480.00	485000.00	58.00	0.00	1.00	863.00	2001.00	1909.00	0.00	Condo	1500 4th Avenue Apartment 800	None	Territorial	06/27/17
47608648.00	-122338784.00	470000.00	0.00	1.00	1.00	511.00	1991.00	1991.00	0.00	Condo	1415 2nd Avenue UNIT 708	Attached Garage, 1 space	City	06/28/17
47612644.00	-122329232.00	420000.00	421.00	1.00	1.00	557.00	2002.00	2002.00	0.00	Condo	1420 Terry Avenue UNIT 1902	Attached Garage, 1 space	City, Mountain	07/12/17
47611444.00	-122325952.00	550500.00	0.00	2.00	1.50	889.00	1975.00	1960.00	0.00	Condo	1221 Minor Avenue Apartment 703	Attached Garage, 1 space	City, Territorial, Water	06/30/17
47616024.00	-122335704.00	680000.00	445.00	1.00	1.00	820.00	0.00	2007.00	0.00	Condo	819 Virginia Street UNIT 1203	1 space	City, Water	07/13/17
47612148.00	-122329632.00	350000.00	0.00	1.00	1.00	568.00	1985.00	1957.00	0.00	Condo	1400 Hubbell Place Apartment 1303	Attached Garage, 1 space	City, Territorial	05/12/17
